,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
185,65000,564.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
186,67500,566.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
187,70000,574.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
188,72500,574.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
189,75000,580.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
190,77500,574.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
191,80000,576.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
192,2500,284.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
193,5000,318.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
194,7500,314.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
195,10000,374.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
196,12500,450.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
197,15000,330.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
198,17500,426.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
199,20000,338.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
200,22500,510.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
201,25000,454.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
202,27500,380.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
203,30000,422.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
204,32500,514.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
205,35000,506.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
206,37500,542.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
207,40000,512.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
208,42500,628.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
209,45000,780.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
210,47500,1058.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
211,50000,1110.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
212,52500,1212.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
213,55000,692.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
214,57500,680.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
215,60000,1326.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
216,62500,1844.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
217,65000,1822.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
218,67500,1874.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
219,70000,2034.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
220,72500,2226.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
221,75000,2676.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
222,77500,2722.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
223,80000,2730.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,1
224,2500,280.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
225,5000,304.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
226,7500,414.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
227,10000,378.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
228,12500,408.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
229,15000,294.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
230,17500,394.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
231,20000,458.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
232,22500,352.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
233,25000,456.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
234,27500,348.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
235,30000,362.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
236,32500,354.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
237,35000,312.0,alien,80000,sparse,False,100,1,0.95,0,0.1,250,False,2,False,20,100,2
