,ENV,Step,EXPLORE,Reward,ACTION-BUFFER-SIZE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,FRAMESTACK,M,TIME-SIG,SEED,simple,rainbow,human,random,ARK2,normalized_reward
87,alien,75000,best fixed,534.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04443542660038551
88,alien,75000,inverse,879.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.0944651371759011
89,alien,75000,mean,577.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.05063841504949348
90,alien,77500,best fixed,610.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.055450078986651975
91,alien,77500,inverse,905.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09817533587443299
92,alien,77500,mean,564.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04872534384556298
93,alien,80000,best fixed,613.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.05591385382396847
94,alien,80000,inverse,898.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.09713184249047088
95,alien,80000,mean,516.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04182669314048029
96,amidar,2500,best fixed,14.52,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.005088405205111746
97,amidar,2500,inverse,13.48,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.00448153118982319
98,amidar,2500,mean,22.880000000000003,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.009966738635700531
99,amidar,5000,best fixed,37.39999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.018439633541459992
100,amidar,5000,inverse,31.52,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.015008461224251618
101,amidar,5000,mean,43.32,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.021894147166948708
102,amidar,7500,best fixed,62.48,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.03307463383322635
103,amidar,7500,inverse,48.55999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.024951858551671816
104,amidar,7500,mean,57.67999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.030273676839586854
105,amidar,10000,best fixed,69.75999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.03732275194024624
106,amidar,10000,inverse,69.36,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.03708933885744296
107,amidar,10000,mean,66.28,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.03529205811985762
108,amidar,12500,best fixed,93.75999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.051327536908443716
109,amidar,12500,inverse,71.67999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.03844313473770204
110,amidar,12500,mean,74.47999999999999,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.04007702631732508
111,amidar,15000,best fixed,91.72,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.05013713018614693
112,amidar,15000,inverse,73.28,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.03937678706891522
113,amidar,15000,mean,80.76,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.04374161171733676
114,amidar,17500,best fixed,105.68000000000002,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.058283246775981803
115,amidar,17500,inverse,90.72,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.049553597479138706
116,amidar,17500,mean,89.76000000000002,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.04899340608041082
117,amidar,20000,best fixed,107.64000000000001,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,74.3,188.6,1719.5,5.8,211.52,0.05942697088171793
