,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED,simple,rainbow,human,random,normalized_reward
76,32500,468.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03613334135627896
77,35000,488.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03914194596546122
78,37500,470.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.036434201817197184
79,40000,350.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.018382574162103617
80,42500,458.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.03462903905168783
81,45000,454.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.034027318129851374
82,47500,776.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.08246585233768579
83,50000,516.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.04335399241831639
84,52500,556.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.04937120163668091
85,55000,698.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.07073229436187496
86,57500,512.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.042752271496479935
87,60000,598.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.05568927131596366
88,62500,494.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.0400445273482159
89,65000,632.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.060803899151573505
90,67500,772.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.08186413141584935
91,70000,628.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.06020217822973705
92,72500,400.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.02590408568505927
93,75000,614.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.05809615500330947
94,77500,532.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.04576087610566219
95,80000,390.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,4,405.2,739.9,6875.4,227.8,0.024399783380468137
96,2500,278.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.007551597569047475
97,5000,298.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.010560202178229736
98,7500,280.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.007852458029965701
99,10000,354.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.01898429508394007
100,12500,740.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.07705036404115773
101,15000,378.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.02259462061495878
102,17500,496.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.040345387809134124
103,20000,474.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.03703592273903364
104,22500,500.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.04094710873097058
105,25000,488.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.03914194596546122
106,27500,522.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.044256573801071064
107,30000,528.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.045159155183825746
108,32500,552.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.04876948071484446
109,35000,528.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.045159155183825746
110,37500,484.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.03854022504362477
111,40000,508.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.04215055057464348
112,42500,488.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2,405.2,739.9,6875.4,227.8,0.03914194596546122
