,ACTION-BUFFER-SIZE,ARK2,CLIP-REWARD,DISCOUNT,ENV,EPS-DECAY,EPSILON,EXPLORE,FRAMESTACK,K_ACT,K_EXP,M,PROJECTION,Reward,SEED,STATE-DIM,STICKY-ACTIONS,Step,TIME-SIG,Unnamed: 0,human,normalized_reward,rainbow,random,simple
146,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,241.5,1.5,250.0,,25000,100.0,146,742.0,0.036759045419553486,431.2,222.4,527.2
148,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,267.75,1.5,250.0,,27500,100.0,148,742.0,0.08727867590454194,431.2,222.4,527.2
150,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,262.5,1.5,250.0,,30000,100.0,150,742.0,0.07717474980754425,431.2,222.4,527.2
152,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,271.95,1.5,250.0,,32500,100.0,152,742.0,0.09536181678214008,431.2,222.4,527.2
154,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,239.4,1.5,250.0,,35000,100.0,154,742.0,0.03271747498075437,431.2,222.4,527.2
156,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,276.15000000000003,1.5,250.0,,37500,100.0,156,742.0,0.10344495765973832,431.2,222.4,527.2
158,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,259.35,1.5,250.0,,40000,100.0,158,742.0,0.07111239414934557,431.2,222.4,527.2
160,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,273.0,1.5,250.0,,42500,100.0,160,742.0,0.09738260200153964,431.2,222.4,527.2
162,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,295.0499999999999,1.5,250.0,,45000,100.0,162,742.0,0.13981909160892986,431.2,222.4,527.2
164,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,279.3,1.5,250.0,,47500,100.0,164,742.0,0.10950731331793688,431.2,222.4,527.2
166,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,264.6,1.5,250.0,,50000,100.0,166,742.0,0.08121632024634337,431.2,222.4,527.2
168,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,257.25,1.5,250.0,,52500,100.0,168,742.0,0.06707082371054655,431.2,222.4,527.2
170,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,263.55,1.5,250.0,,55000,100.0,170,742.0,0.0791955350269438,431.2,222.4,527.2
172,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,319.2000000000001,1.5,250.0,,57500,100.0,172,742.0,0.1862971516551194,431.2,222.4,527.2
174,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,243.6,1.5,250.0,,60000,100.0,174,742.0,0.0408006158583525,431.2,222.4,527.2
176,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,254.1,1.5,250.0,,62500,100.0,176,742.0,0.061008468052347935,431.2,222.4,527.2
178,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,241.5,1.5,250.0,,65000,100.0,178,742.0,0.036759045419553486,431.2,222.4,527.2
180,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,277.2,1.5,250.0,,67500,100.0,180,742.0,0.10546574287913776,431.2,222.4,527.2
182,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,248.85,1.5,250.0,,70000,100.0,182,742.0,0.050904541955350185,431.2,222.4,527.2
184,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,275.1,1.5,250.0,,72500,100.0,184,742.0,0.10142417244033873,431.2,222.4,527.2
186,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,289.8,1.5,250.0,,75000,100.0,186,742.0,0.12971516551193227,431.2,222.4,527.2
188,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,273.0,1.5,250.0,,77500,100.0,188,742.0,0.09738260200153964,431.2,222.4,527.2
190,80000.0,311.64,,0.95,assault,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,292.94999999999993,1.5,250.0,,80000,100.0,190,742.0,0.13577752117013073,431.2,222.4,527.2
