,ENV,Step,TIME-SIG,Reward,ACTION-BUFFER-SIZE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,FRAMESTACK,M,SEED,simple,rainbow,human,random,normalized_reward
27,alien,17500,1.0,396.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.02536253685540646
28,alien,20000,0.5,560.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04997292255851736
29,alien,20000,0.75,470.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.036494373909380824
30,alien,20000,0.9,494.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04016487153258319
31,alien,20000,1.0,449.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03336542511583128
32,alien,22500,0.5,507.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04209037848245984
33,alien,22500,0.75,444.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03264336000962754
34,alien,22500,0.9,355.2,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.019164811360491002
35,alien,22500,1.0,442.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03222215536434202
36,alien,25000,0.5,449.2,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03330525302364763
37,alien,25000,0.75,484.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03860039713580841
38,alien,25000,0.9,350.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.018382574162103617
39,alien,25000,1.0,424.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.029634755400445276
40,alien,27500,0.5,496.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04046573199350142
41,alien,27500,0.75,524.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04461760635417293
42,alien,27500,0.9,399.2,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.025783741500691976
43,alien,27500,1.0,429.2,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03029664841446537
44,alien,30000,0.5,524.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04455743426198929
45,alien,30000,0.75,523.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04449726216980565
