,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
89,65000,592.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
90,67500,686.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
91,70000,586.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
92,72500,540.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
93,75000,532.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
94,77500,546.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
95,80000,536.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
96,2500,24.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
97,5000,51.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
98,7500,50.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
99,10000,69.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
100,12500,86.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
101,15000,93.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
102,17500,100.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
103,20000,103.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
104,22500,113.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
105,25000,109.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
106,27500,105.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
107,30000,108.4,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
108,32500,119.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
109,35000,115.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
110,37500,107.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
111,40000,119.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
112,42500,116.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
113,45000,117.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
114,47500,119.4,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
115,50000,120.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
116,52500,118.4,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
117,55000,116.4,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
118,57500,120.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
119,60000,129.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
120,62500,146.4,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
121,65000,162.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
122,67500,165.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
123,70000,165.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
124,72500,168.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
125,75000,173.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
126,77500,173.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
127,80000,171.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
128,2500,4.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
129,5000,53.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
130,7500,50.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
131,10000,54.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
132,12500,78.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
133,15000,60.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
134,17500,109.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
135,20000,89.4,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
136,22500,123.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
137,25000,119.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
138,27500,137.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
139,30000,107.0,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
140,32500,94.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
141,35000,101.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
142,37500,94.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
143,40000,94.6,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
144,42500,102.8,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
145,45000,113.2,amidar,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
